--------- beginning of /dev/log/main
05-22 02:45:13.652 I/Gecko   (   83): 1400751913670	Marionette	INFO	Switched to frame: {"frameValue":"{7cb31a47-258a-4a58-8dd1-9f790cfc4d90}"}
05-22 02:45:13.672 I/Gecko   (   83): 1400751913685	Marionette	INFO	trying remote frame 0
05-22 02:45:13.672 I/Gecko   (   83): 1400751913686	Marionette	INFO	trying remote frame 1
05-22 02:45:13.672 I/Gecko   (   83): 1400751913687	Marionette	INFO	trying remote frame 2
05-22 02:45:13.682 I/Gecko   (   83): 1400751913698	Marionette	INFO	frame-manager load script: [object ChromeMessageSender]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'box-sizing'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 719 column: 12 source: "  box-sizing: border-box;"}]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Expected 'none' or URL but found 'progid'.  Error in parsing value for 'filter'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 733 column: 10 source: "  filter: progid:DXImageTransform.Microsoft.Alpha(Opacity=0);"}]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'zoom'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 750 column: 6 source: "  zoom: 1;"}]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'zoom'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 767 column: 6 source: "  zoom: 1;"}]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'zoom'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 831 column: 6 source: "  zoom: 1;"}]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 860 column: 11 source: "  display: -webkit-box;"}]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 875 column: 20 source: "  -moz-border-radius: 5px;"}]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property 'zoom'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 913 column: 6 source: "  zoom: 1;"}]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 968 column: 20 source: "  -moz-border-radius: 8px;"}]
05-22 02:45:17.122 E/GeckoConsole( 1157): [JavaScript Warning: "Unknown property '-moz-border-radius'.  Declaration dropped." {file: "app://{4060935e-e6d9-40f7-b1a8-c170af9fd29a}/css/style.css" line: 990 column: 20 source: "  -moz-border-radius: 25px;"}]
