--------- beginning of /dev/log/main
04-26 12:13:36.915 I/GonkMemoryPressure( 1775): Memory pressure is over.
04-26 12:13:36.925 I/GonkMemoryPressure(   83): Checking to see if memory pressure is over.
04-26 12:13:37.005 I/GonkMemoryPressure( 1829): Memory pressure is over.
04-26 12:13:37.815 I/Gecko   ( 1775): SharedSurface_Gralloc::Create -------
04-26 12:13:37.925 I/Gecko   ( 1775): SharedSurface_Gralloc::Create: success -- surface 0x481f8d80, GraphicBuffer 0x44275180.
04-26 12:13:38.595 I/Gecko   ( 1775): [SharedSurface_Gralloc 0x44527100] destroyed
04-26 12:13:39.595 W/WifiHW  (   83): wifi_command: SIGNAL_POLL
04-26 12:13:44.605 W/WifiHW  (   83): wifi_command: SIGNAL_POLL
04-26 12:13:47.035 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd888f8, header: 0xd8ad68, iRefCount: 0
04-26 12:13:47.045 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ca10, header: 0xd93618, iRefCount: 0
04-26 12:13:47.055 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd8ff50, header: 0xd95330, iRefCount: 0
04-26 12:13:47.065 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd7f5a8, header: 0xd88298, iRefCount: 0
04-26 12:13:47.065 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd7f5b0, header: 0xd88c08, iRefCount: 0
04-26 12:13:47.065 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd7f5b8, header: 0xd8a970, iRefCount: 0
04-26 12:13:47.065 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd7f5c0, header: 0xd89530, iRefCount: 0
04-26 12:13:47.075 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd90c20, header: 0xd90038, iRefCount: 0
04-26 12:13:47.075 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd90c28, header: 0xd91880, iRefCount: 0
04-26 12:13:47.075 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd90c30, header: 0xd934a0, iRefCount: 0
04-26 12:13:47.075 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd90c38, header: 0xd93e18, iRefCount: 0
04-26 12:13:47.075 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xd903f0, header: 0xd8fbf8, iRefCount: 0
