--------- beginning of /dev/log/main
04-26 06:27:35.762 E/GeckoConsole(  975): [JavaScript Warning: "Expected media feature name but found 'min-device-pixel-ratio'." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3505 column: 85 source: "  @media (min--moz-device-pixel-ratio: 1.5), (-webkit-min-device-pixel-ratio: 1.5), (min-device-pixel-ratio: 1.5), (min-resolution: 144dpi), (min-resolution: 1.5dppx) {"}]
04-26 06:27:35.762 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-flex'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3521 column: 11 source: "  -moz-flex: 1;"}]
04-26 06:27:35.762 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3586 column: 11 source: "  display: -webkit-box;"}]
04-26 06:27:35.762 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3587 column: 11 source: "  display: -webkit-flex;"}]
04-26 06:27:35.762 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3589 column: 11 source: "  display: -moz-flex;"}]
04-26 06:27:35.762 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3590 column: 11 source: "  display: -ms-flexbox;"}]
04-26 06:27:35.762 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3900 column: 11 source: "  display: -webkit-box;"}]
04-26 06:27:35.762 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3901 column: 11 source: "  display: -webkit-flex;"}]
04-26 06:27:35.762 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3903 column: 11 source: "  display: -moz-flex;"}]
04-26 06:27:35.762 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3904 column: 11 source: "  display: -ms-flexbox;"}]
04-26 06:27:35.762 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-align-items'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3909 column: 18 source: "  -moz-align-items: center;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3962 column: 11 source: "  display: -webkit-box;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3963 column: 11 source: "  display: -webkit-flex;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3965 column: 11 source: "  display: -moz-flex;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3966 column: 11 source: "  display: -ms-flexbox;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-align-items'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3971 column: 18 source: "  -moz-align-items: center;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3995 column: 11 source: "  display: -webkit-box;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3996 column: 11 source: "  display: -webkit-flex;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3998 column: 11 source: "  display: -moz-flex;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 3999 column: 11 source: "  display: -ms-flexbox;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-align-items'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4004 column: 18 source: "  -moz-align-items: center;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4041 column: 11 source: "  display: -webkit-box;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4042 column: 11 source: "  display: -webkit-flex;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4044 column: 11 source: "  display: -moz-flex;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4045 column: 11 source: "  display: -ms-flexbox;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property '-moz-align-items'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4050 column: 18 source: "  -moz-align-items: center;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'font-smoothing'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4053 column: 16 source: "  font-smoothing: antialiased;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Unknown property 'speak'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4067 column: 7 source: "  speak: none; }"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4164 column: 15 source: "      display: -webkit-box;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4165 column: 15 source: "      display: -webkit-flex;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4167 column: 15 source: "      display: -moz-flex;"}]
04-26 06:27:35.772 E/GeckoConsole(  975): [JavaScript Warning: "Error in parsing value for 'display'.  Declaration dropped." {file: "app://{46b0a684-3603-47cf-8f9a-4192c3ccb77d}/data/main.css" line: 4168 column: 15 source: "      display: -ms-flexbox;"}]
